user,tweet
LapasDompu,"Kami Lembaga Pemasyarakatan Kelas IIB Dompu Kanwil Kemenkumham NTB turut berduka atas musibah banjir dan tanah longsor yang terjadi di beberapa Wilayah NTB. 

#HarisSukamto​
#KumhamPasti
#KemenkumhamNTB
#KanwilKemenkumhamNTB
#KumhamNTBPastiJuare https://t.co/hkbBjHjeXK"
KabarSiang,Banjir dan Longsor NTB: 4 Orang Meninggal dan 3.213 Terdampak https://t.co/vHsf2ACBwe #Banjirntb
HarahapNapurpur,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
ResNgawi,Kegiatan antisipasi bencana alam banjir dan tanah longsor berupa pemantauan debit air aliran sungai di wilayah Kec. Ngrambe https://t.co/9uoLnXatBu
NurMadani18,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Annicsm,"RT @sudjiwotedjo: @DonAdam68 Bencana? ITB jangan ikut mindset salah kaprah. Erupsi gunung, longsor, banjir dll hanyalah ayat2/Sabda cara al…"
Kaburan7,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
tresa_chndrp,Musim hujan selalu bebarengan dengan musim banjir dan longsor. Stay safe
SyarifAlkadrie3,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
archa_bella,"Kita harapkan dibulan Januari,bibit2 ini sdh mulai keluar utk ditanam di tempat2 yg sering banjir,longsor,memerlukan rehabilitasi untuk lahan-lahan kritis.Kita harapkan dgn membangun pusat persemaian seperti ini,kita akan kurangi di hulunya,utamanya utk banjir &amp; perbaikan lingk. https://t.co/nK2RmSBPAY"
badaiGurun8,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
zona_raya,"Lombok Barat Diterjang Banjir Bandang dan Tanah Longsor, Empat Orang Tewas, Salah Satunya Balita Enam Tahun
 https://t.co/6jsZ3RYabm"
